title,genres
Top Gun,"action, drama"
Jurassic Park,"action, adventure, sci-fi"
Jurassic World: Fallen Kingdom,"action, adventure, sci-fi"
Jurassic World,"action, adventure, sci-fi"
The Godfather,"crime, drama"
The Lady of Heaven,"action, drama, history"
The Black Phone,horror
Spider-Man: No Way Home,"action, adventure, fantasy"
Fantastic Beasts: The Crimes of Grindelwald,"adventure, family, fantasy"
Ghostbusters: Afterlife,"adventure, comedy, fantasy"
No Time to Die,"action, adventure, thriller"
Old,"drama, horror, mystery"
Pirates of the Caribbean: The Curse of the Black Pearl,"action, adventure, fantasy"
Operation Mincemeat,"drama, war"
365 Days,"drama, romance"
The Matrix Resurrections,"action, sci-fi"
Pleasure,drama
Dune,"action, adventure, drama"
The Lost World: Jurassic Park,"action, adventure, sci-fi"
Goodfellas,"biography, crime, drama"
Fantastic Beasts and Where to Find Them,"adventure, family, fantasy"
Aquaman,"action, adventure, fantasy"
Mission: Impossible,"action, adventure, thriller"
The Shawshank Redemption,drama
Star Wars: Episode I - The Phantom Menace,"action, adventure, fantasy"
Jurassic Park III,"action, adventure, sci-fi"
The Rum Diary,"comedy, drama"
The Lincoln Lawyer,"crime, drama, mystery"
Star Wars,"action, adventure, fantasy"
Free Guy,"action, adventure, comedy"
Titanic,"drama, romance"
Harry Potter and the Sorcerer's Stone,"adventure, family, fantasy"
Once Upon a Time... In Hollywood,"comedy, drama"
The Goonies,"adventure, comedy, family"
American Psycho,"crime, drama, horror"
Pirates of the Caribbean: Dead Men Tell No Tales,"action, adventure, fantasy"
Avengers: Endgame,"action, adventure, drama"
Eternals,"action, adventure, fantasy"
Midsommar,"drama, horror, mystery"
Star Wars: Episode III - Revenge of the Sith,"action, adventure, fantasy"
The Gentlemen,"action, comedy, crime"
Licorice Pizza,"comedy, drama, romance"
The Amazing Spider-Man,"action, adventure, sci-fi"
Sing 2,"animation, adventure, comedy"
Whiplash,"drama, music"
Encanto,"animation, comedy, family"
The Dark Knight,"action, crime, drama"
Interstellar,"adventure, drama, sci-fi"
Star Wars: The Rise Of Skywalker,"action, adventure, fantasy"
The King's Man,"action, adventure, thriller"
Joker,"crime, drama, thriller"
Disappearance at Clifton Hill,"drama, mystery, thriller"
Knives Out,"comedy, crime, drama"
CODA,"comedy, drama, music"
The Fifth Element,"action, adventure, sci-fi"
Charlie and the Chocolate Factory,"adventure, comedy, family"
Avatar,"action, adventure, fantasy"
Fifty Shades of Grey,"drama, romance, thriller"
Mission: Impossible - Fallout,"action, adventure, thriller"
Inception,"action, adventure, sci-fi"
The Departed,"crime, drama, thriller"
Saving Private Ryan,"drama, war"
Sonic the Hedgehog,"action, adventure, comedy"
Legend,"biography, crime, drama"
Don't Look Up,"comedy, drama, sci-fi"
1917,"action, drama, war"
Forrest Gump,"drama, romance"
Star Wars: Episode II - Attack of the Clones,"action, adventure, fantasy"
The Grand Budapest Hotel,"adventure, comedy, crime"
A Nightmare on Elm Street,horror
Pulp Fiction,"crime, drama"
Anchorman: The Legend of Ron Burgundy,comedy
The Wolf of Wall Street,"biography, comedy, crime"
Nightmare Alley,"crime, drama, thriller"
Requiem for a Dream,drama
It,horror
The Monolith Monsters,"drama, horror, sci-fi"
Mission: Impossible - Ghost Protocol,"action, adventure, thriller"
Willow,"action, adventure, drama"
Beetlejuice,"comedy, fantasy"
Heat,"action, crime, drama"
Steel Magnolias,"comedy, drama, romance"
Doctor Strange,"action, adventure, fantasy"
Back to the Future,"adventure, comedy, sci-fi"
The Outsiders,"crime, drama"
Blade Runner 2049,"action, drama, mystery"
Taxi Driver,"crime, drama"
Fight Club,drama
The Mortal Instruments: City of Bones,"action, adventure, fantasy"
Rogue One: A Star Wars Story,"action, adventure, sci-fi"
Pirates of the Caribbean: Dead Man's Chest,"action, adventure, fantasy"
The Accountant,"action, thriller"
Watchmen,"action, drama, mystery"
The Suicide Squad,"action, adventure, comedy"
The Godfather Part II,"crime, drama"
Ghostbusters,"action, comedy, fantasy"
Inglourious Basterds,"adventure, drama, war"
Mission: Impossible II,"action, adventure, thriller"
Murder on the Orient Express,"crime, drama, mystery"
Resident Evil: Welcome to Raccoon City,"action, horror, sci-fi"
Run,"mystery, thriller"
Léon: The Professional,"action, crime, drama"
Divergent,"action, adventure, mystery"
Schindler's List,"biography, drama, history"
House of Gucci,"crime, drama"
Pirates of the Caribbean: On Stranger Tides,"action, adventure, fantasy"
The Card Counter,"crime, drama, thriller"
Love,"drama, romance"
Dashcam,horror
Fast Times at Ridgemont High,"comedy, drama"
The Hunger Games,"action, adventure, sci-fi"
Nobody,"action, crime, drama"
The Lord of the Rings: The Fellowship of the Ring,"action, adventure, drama"
The Silence of the Lambs,"crime, drama, thriller"
West Side Story,"crime, drama, musical"
Wrath of Man,"action, crime, thriller"
Avengers: Infinity War,"action, adventure, sci-fi"
Parasite,"comedy, drama, thriller"
Paddington 2,"adventure, comedy, family"
The Girl Next Door,"comedy, drama, romance"
Shang-Chi and the Legend of the Ten Rings,"action, adventure, fantasy"
Spider-Man,"action, adventure, sci-fi"
The Wizard of Oz,"adventure, family, fantasy"
The French Dispatch,"comedy, drama, romance"
Last Night in Soho,"drama, horror, mystery"
Thor: Ragnarok,"action, adventure, comedy"
Tombstone,"biography, drama, history"
Zack Snyder's Justice League,"action, adventure, fantasy"
American Pie,comedy
Edward Scissorhands,"drama, fantasy, romance"
Deadpool,"action, adventure, comedy"
Bohemian Rhapsody,"biography, drama, music"
Eyes Wide Shut,"drama, mystery, thriller"
Downton Abbey,"drama, romance"
Sweeney Todd: The Demon Barber of Fleet Street,"drama, horror, musical"
Mission: Impossible - Rogue Nation,"action, adventure, thriller"
Lolita,"drama, romance"
The Last Duel,"action, drama, history"
Enola Holmes,"action, adventure, crime"
A League of Their Own,"comedy, drama, sport"
Spider-Man 3,"action, adventure, sci-fi"
Black Widow,"action, adventure, sci-fi"
Pirates of the Caribbean: At World's End,"action, adventure, fantasy"
F9: The Fast Saga,"action, crime, thriller"
Guardians of the Galaxy,"action, adventure, comedy"
Twilight,"drama, fantasy, romance"
Dazed and Confused,comedy
Alien,"horror, sci-fi"
Star Wars: Episode VIII - The Last Jedi,"action, adventure, fantasy"
London Fields,"crime, mystery, thriller"
Star Wars: Episode VII - The Force Awakens,"action, adventure, sci-fi"
Tenet,"action, adventure, sci-fi"
Django Unchained,"drama, western"
Hereditary,"drama, horror, mystery"
Se7en,"crime, drama, mystery"
Risky Business,"comedy, crime, drama"
Candyman,"horror, thriller"
Star Wars: Episode VI - Return of the Jedi,"action, adventure, fantasy"
Captain Marvel,"action, adventure, sci-fi"
Blow,"biography, crime, drama"
Only the Brave,"action, biography, drama"
Predator,"action, adventure, horror"
Spider-Man: Homecoming,"action, adventure, sci-fi"
Gone Girl,"drama, mystery, thriller"
Footloose,"comedy, drama, music"
The Crow,"action, crime, drama"
Get Out,"horror, mystery, thriller"
Apocalypse Now,"drama, mystery, war"
The VVitch: A New-England Folktale,"drama, fantasy, history"
Venom: Let There Be Carnage,"action, adventure, sci-fi"
300,"action, drama"
Baywatch,"action, comedy, crime"
Star Wars: Episode V - The Empire Strikes Back,"action, adventure, fantasy"
Darkest Hour,"biography, drama, war"
The Danish Girl,"biography, drama, romance"
Kingsman: The Secret Service,"action, adventure, comedy"
The Matrix,"action, sci-fi"
The Voyeurs,"drama, mystery, thriller"
Kama Sutra: A Tale of Love,"crime, drama, history"
Public Enemies,"action, biography, crime"
Mission: Impossible III,"action, adventure, thriller"
Gladiator,"action, adventure, drama"
The Breakfast Club,"comedy, drama"
Scooby-Doo,"adventure, comedy, family"
We Die Young,"action, crime, drama"
Hacksaw Ridge,"biography, drama, history"
Her,"drama, romance, sci-fi"
Midway,"action, drama, history"
Spree,"action, comedy, crime"
The Dark Knight Rises,"action, drama"
Jack Reacher,"action, mystery, thriller"
Mad Max: Fury Road,"action, adventure, sci-fi"
Once Upon a Time in America,"crime, drama"
Prisoners,"crime, drama, mystery"
Oblivion,"action, adventure, sci-fi"
Malena,"drama, romance, war"
Call Me by Your Name,"drama, romance"
Ford v Ferrari,"action, biography, drama"
The Irishman,"biography, crime, drama"
Black Swan,"drama, thriller"
The Power of the Dog,"drama, romance, western"
Ad Astra,"adventure, drama, mystery"
Full Metal Jacket,"drama, war"
Bridesmaids,"comedy, romance"
Troy,"drama, history"
Red Notice,"action, comedy, thriller"
After,"drama, romance"
Paddington,"adventure, comedy, family"
Harry Potter and the Deathly Hallows: Part 1,"adventure, family, fantasy"
No Country for Old Men,"crime, drama, thriller"
A Few Good Men,"drama, thriller"
