title_id,title,year,runtime,genres,dir_list,cast_list,rating
tt6963362,The Wind Bloweth Where It Listeth,(2017),100 min,"
Drama            ","['Director:', 'Kim Ekberg']","['Stars:', 'Mira Eklund,', 'Bianca Cruzeiro,', 'Lennart Ahlstand,', 'Gabriel Albertsson']",5.6
tt2346170,#1 Serial Killer,(2013),87 min,"
Horror            ","['Director:', 'Stanley Yung']","['Stars:', 'Jason Tobin,', 'Eugenia Yuan,', 'Tzi Ma,', 'Shoshana Bush']",5.4
tt10985348,#1915House,(2018),55 min,"
Horror, Thriller            ","['Director:', 'Justin DiPego']","['Star:', 'Justin DiPego']",6.2
tt3120962,#5,(2013),68 min,"
Biography, Comedy, Fantasy            ","['Director:', 'Ricky Bardy']","['Stars:', 'Justin Bardy,', 'Ricky Bardy']",6.1
tt4470336,#50Fathers,(2015),132 min,"
Comedy            ","['Director:', 'Joddy Eric Matthews']","['Stars:', 'Anthony Akins,', 'Heidi Azaro,', 'Antonio Barrios,', 'Sonia Bishop']",
tt9850370,#AnneFrank - Parallel Stories,(2019),92 min,"
Drama, History            ","['Directors:', 'Sabina Fedeli,', 'Anna Migotto']","['Stars:', 'Helen Mirren,', 'Anne Frank,', 'Martina Gatti,', 'Arianna Szorenyi']",6.5
tt4353986,#Beings,(2015),56 min,"
Thriller            ","['Director:', 'Andrei Stefanescu']","['Stars:', 'Piotr Bockowski,', 'Andrea Christina Furrer,', 'Dorothee Höhn,', 'Catalin Jugravu']",5.4
tt12857724,#BlackSkin,(2021),85 min,"
Drama            ","['Director:', 'Marc Cayce']","['Stars:', 'Sheldon Bailey,', 'Cocoa Brown,', 'Jazzlyn Brown,', 'QuaNae Coleman']",3.2
tt8241112,#Bodygoals,(2018),,"
Comedy            ","['Director:', 'Craig Tovey']","['Stars:', 'Nicole Burch,', 'Corey Clifford,', 'Cooper Hopkins']",
tt10497948,#Bornagain,(2018),,,[],[],
tt6856592,#Captured,(2017),81 min,"
Horror, Thriller            ","['Director:', 'Joe Homokay']","['Stars:', 'Lizze Gordon,', 'Gabrielle Romanello,', 'Megan Medellin,', 'Charlie Ian']",4.8
tt6479626,#CoEdConfessions,(2017),61 min,"
Comedy, Romance            ","['Directors:', 'William Cardoza,', 'Guillermo Gomez,', 'Rachael Hadassah,', 'Djordje Mladenovic,', 'Kent Palzes']","['Stars:', 'Nicole Anderson,', 'Petrita Barnett,', 'Bruna Brito,', 'Janine Bunag']",5.7
tt5803530,#DigitalLivesMatter,(2016),93 min,"
Comedy            ","['Director:', 'Terri J. Vaughn']","['Stars:', 'Rashan Ali,', 'Carlos Aviles,', 'Brooklyn Beedles,', 'Ben Bornert']",6.8
tt5460468,#Enough,(2015),,"
Drama            ","['Director:', 'Miranda Ferguson']","['Stars:', 'Jonathan R. Ayers,', 'Mark Boyd,', 'Jebediah Calhoun,', 'Sean Davis']",3.1
tt7272948,#Followme,(2019),90 min,"
Horror, Thriller            ","['Director:', 'Sam Hardy']","['Stars:', 'Kara Kingsward-Hughes,', 'Scarlett Davies,', 'Maria Louis,', 'Tyler Gallant']",3.5
tt13940664,#Franglais,(2020),69 min,"
Comedy            ","['Director:', 'Félix Guimard']","['Star:', 'Paul Taylor']",7.5
tt8500622,#FullMethod,(2019),,"
Drama, Thriller            ","['Director:', 'Katz Carter']","['Stars:', 'Saige Ryan,', 'Aidan Davari,', 'Laura Napoli,', 'Shane Cervantes']",
tt13970166,#Happy420,(2021),,"
Comedy            ","['Director:', 'Kenneth Lampkin II']","['Stars:', 'Carl J Grasso,', 'Jordan C. Jones,', 'Steve White,', 'Dejon Caldwell']",
tt3526286,#Horror,(2015),97 min,"
Crime, Drama, Horror            ","['Director:', 'Tara Subkoff']","['Stars:', 'Sadie Seelert,', 'Haley Murphy,', 'Bridget McGarry,', 'Blue Lindeberg']",3
tt16357180,#JeSuis,(2018),65 min,"
Music            ","['Director:', 'Aakash Odedra']","['Stars:', 'Gizem Aksu,', 'Evrim Akyay,', 'Yasin Anar,', 'Taner Güngör']",
tt4968908,#LANDoftheBRAVEfilm,(2019),95 min,"
Thriller            ","['Director:', 'Tim Huebschle']","['Stars:', 'Elize de Wee,', 'Armas Shivute,', 'Pieter Greeff,', 'Ralf Boll']",7.8
